sentence,tags,lem
[ وسهروا الى نصف الليل ، وبعدها كل من قام الى مرقده ، وصفرين افردوا له قاعه وحده .,punc verb prep noun noun punc noun noun prep verb prep noun punc noun verb prep noun adv punc,[ سَهِر إِلَى نِصْف لَيْل ، بُعْد كُلّ مِن قام إِلَى مَرْقَد ، صِفْر أَفْرَد لِ قاعَة وَحْد .
دخل ، شلح ونام .,verb punc noun_prop verb punc,دَخَل ، شَلَح نام .
قال .,verb punc,قال .
.,punc,.
.,punc,.
فخلاه شيحه جمال الدين حتى غفل ، ثقل نومه في البنج وطهره بعياقته ، ومشى الحال ] وبعد سبعة ايام طاب وسار لسرايته الذي امر له بها الملك ، ومعه اخوته وامه وخالته وامواله .,prep verb noun_prop noun prep verb punc noun noun prep noun noun noun_prop punc verb noun punc noun adj noun noun verb noun pron_rel noun prep prep noun punc prep noun noun verb noun punc,خَلا شَيَّح جَمال دِين حَتَّى غَفَل ، ثِقْل نَوْم فِي بَنْج طُهْر بعياقته ، مَشَى حال ] بُعْد سَبْع يَوْم طاب راوَنْد سَرايَة الَّذِي أَمْر لِ بِ مَلِك ، مَع إِخْوَة أُمَّة خال مال .
وبقيت زوجة جمال الدين فى الجمليه .,verb noun noun_prop noun prep noun_prop punc,بَقِي زَوْجَة جَمال دِين فِي الجمليه .
هذا ، والاعيان صاروا يعملوا الضيافات الى صفرين واخوته ، واستقام مدة ايام وبرهة من الزمان .,pron_dem punc noun verb verb noun_prop prep noun noun punc verb noun noun noun prep noun punc,هٰذا ، أَعْيان صار عَمِل الضيافات إِلَى صِفْر إِخْوَة ، ٱِسْتَقام مُدَّة يَوْم بُرْهَة مِن زَمان .
ديوان العرفج ابن ذميم الجوني اما اغرب [ ما وقع ] الى الشاه زاده * السعيد ، قام عند الصباح حتى يتوضا ويصلي الصبح مع ابيه الملك ، فوجد باب القاعه مفتوح ، وراس سعد الدين الرصافي مرمي بالعتبه .,noun noun_prop noun_prop adj noun_prop part_focus noun punc pron_rel verb punc prep noun_prop noun punc adj punc verb noun noun prep verb verb noun prep noun noun punc verb noun noun adj punc noun noun_prop noun noun_prop noun noun punc,دِيوان العرفج ٱِبْن ذَمِيم الجوني أَمّا أَغْرَب [ ما وَقَع ] إِلَى شاه زاد * سَعِيد ، قام عِنْد صَباح حَتَّى تَوَضَّأ صَلَّى صُبْح مَع أَب مَلِك ، وَجَد باب قاعَة مَفْتُوح ، رَأْس سَعْد دِين الرصافي مَرْمَى عَتَبَة .
فتقدم السعيد الى مرقد ابوه حتى يخبره ، وجده مفقود من ملاية فراشه .,verb adj prep noun noun prep verb punc verb noun prep noun noun punc,قَدَّم سَعِيد إِلَى مَرْقَد أَب حَتَّى أَخْبَر ، وَجَد مَفْقُود مِن مِلايَة فِراش .
فصرخ السعيد صوت من صميم الفواد ، فركضوا الحجاب وصرخوا : كفا الله شرك ، يا شاه زاده ، ما الخبر ؟,verb adj noun prep noun noun_prop punc verb noun verb punc verb noun_prop noun punc part_voc noun_prop noun punc pron_rel noun_prop punc,صَرَخ سَعِيد صَوْت مِن صَمِيم الفواد ، رَكَض حِجاب صَرَخ : كَفّ اللَّه شَرّ ، يا شاه زاد ، ما خُبَر ؟
فاخبرهم بفقد ابوه .,verb noun noun punc,أَخْبَر فَقْد أَب .
ثم صلى السعيد الصبح ، وطلع على الديوان جلس على كرسيه الى ان تكامل الديوان ، فنظر ابراهيم للسعيد جالس على الكرسي ، فقال له : يا شاه زاده ، اين افندينا ؟,adv verb adj noun punc verb prep noun verb prep noun prep conj_sub noun noun punc noun noun_prop noun_prop noun prep noun punc verb prep punc part_voc noun_prop noun punc adv_interrog noun_prop punc,ثُمَّ صَلَّى سَعِيد صُبْح ، طَلَع عَلَى دِيوان جَلَس عَلَى كُرْسِيّ إِلَى أَنَّ تَكامُل دِيوان ، نَظَر إِبْراهِيم سَعِيد جالِس عَلَى كُرْسِيّ ، قال لِ : يا شاه زاد ، أَيْنَ أَفَنْدِيّ ؟
قال له : مفقود من ملاية فراشه ، وراس المقدم سعد الدين الرصافي مقطوع ومرمي بالعتبه .,verb prep punc noun prep noun noun punc noun noun noun_prop noun noun_prop adj noun noun punc,قال لِ : مَفْقُود مِن مِلايَة فِراش ، رَأْس مُقَدَّم سَعْد دِين الرصافي مَقْطُوع مَرْمَى عَتَبَة .
فصرخ إبراهيم : يا جميل الستر اذا حاط البلا !,verb noun_prop punc part_voc noun_prop noun conj verb noun_prop punc,صَرَخ إِبْراهِيم : يا جَمِيل سِتْر إِذا حاط البلا !
ونزل يركض لقاعة عرب سار * ، وجد راس المقدم سعد الدين الرصافي ، اخذه للديوان .,verb verb noun noun verb punc punc verb noun noun noun_prop noun noun_prop punc verb noun punc,نَزَل رَكَض قاعَة عَرَب سار * ، وَجَد رَأْس مُقَدَّم سَعْد دِين الرصافي ، أَخَذ دِيوان .
فلما نظروه المقدمين صاروا يتباكوا ، وصرخوا : باطل عليك ، يا مقدم !,conj verb adj verb verb punc verb punc noun prep punc part_voc noun punc,لَمّا نَظَر مُقَدَّم صار تَباكَى ، صَرَخ : باطِل عَلَى ، يا مُقَدَّم !
والله ، لا بد عن اخذ تارك .,noun_prop punc part_neg noun prep verb verb punc,اللَّه ، لا بُدّ عَن أَخَذ تارَك .
هم بالكلام وباب الديوان استد * ، وداخل السجان ينعي بالويل والثبور وعظايم الأمور .,pron noun noun_prop noun noun_prop punc punc noun noun verb noun noun noun_prop noun punc,هُم كَلام آب دِيوان استد * ، داخِل سَجّان نَعَى وَيْل ثُبُور وعظايم أَمْر .
فقال له السعيد : كفا الله شرك ، ما الخبر ؟,verb prep adj punc verb noun_prop noun punc pron_rel noun_prop punc,قال لِ سَعِيد : كَفّ اللَّه شَرّ ، ما خُبَر ؟
قال له : افندم بتنا اصبحنا ، وجد جوان متخلص وغلامه ، والغفر العشره مذبوحين ، ونظرت هذه الورقه مرميه فى باب السجن .,verb prep punc noun_prop verb verb punc verb noun_prop noun_prop noun punc noun noun noun_prop punc verb pron_dem noun adj prep noun noun punc,قال لِ : أَفَنْدِم بات أَصْبَح ، وَجَد جُوان متخلص غُلام ، غَفْر عَشَرَة مذبوحين ، نَظَر هٰذا وَرَق مَرْمِيّ فِي باب سِجْن .
فاخذ الورقه السعيد ، قراها يراها : ما فعل ذلك الفعال وبلغ ذلك الامال الا العرفج ، ابن ذميم الجوني مقدم قلعة الجون ، وانا يا مسلمين ، ما قتلت المقدم سعد الدين الرصافي الا بتار ابي .,verb noun adj punc noun verb punc pron_rel noun pron_dem adj verb pron_dem noun part noun_prop punc noun_prop adj noun_prop noun noun noun punc pron part_voc adj punc pron_rel verb noun noun_prop noun noun_prop part noun noun_prop punc,أَخَذ وَرَق سَعِيد ، قَرْيَة راوَنْد : ما فِعْل ذٰلِكَ فَعّال بَلَغ ذٰلِكَ أَمَل إِلّا العرفج ، ٱِبْن ذَمِيم الجوني مُقَدَّم قَلْعَة جُون ، أَنا يا مُسْلِم ، ما قَتَل مُقَدَّم سَعْد دِين الرصافي إِلّا بَتّار أَبِي .
قال الراوي ، يا ساده : وكان السبب لما الملك الظاهر امر الوزير شاهين ان يكاتب نياب البلاد ، وتفرقت الكتب ومن الجمله الى قلعة صهيون الى عماد الدين علقم ¤ واولاد خالاته ، والى قلعة الرصافيه الى المقدم سعد الدين الرصافي ، فقرا المكتوب يراه بالحضور لمصر لاجل يحضر تقطيعة جوان .,verb noun punc part_voc noun_prop punc verb noun pron_rel noun noun noun noun noun_prop conj_sub verb noun_prop noun punc verb noun prep noun prep noun noun_prop prep noun_prop noun noun punc noun noun punc prep noun noun_prop prep noun noun_prop noun noun_prop punc verb adj verb noun noun_prop noun verb noun noun_prop punc,قال راوِي ، يا سَيِّد : كان سَبَب ما مَلِك ظاهِر أَمْر وَزِير شاهِين أَنَّ كاتَب نياب بَلَد ، تَفَرَّق كِتاب مِن جُمْلَة إِلَى قَلْعَة صَهْيُون إِلَى عِماد دِين عَلْقَم ¤ وَلَد خالَة ، إِلَى قَلْعَة الرصافيه إِلَى مُقَدَّم سَعْد دِين الرصافي ، قَرَأ مَكْتُوب راوَنْد حُضُور مِصْر أَجْل حَضَر تَقْطِيع جُوان .
ففرح فرح كثير بقتل جوان ، وركب فرسه وسار طالب مصر .,noun_prop noun_prop noun noun noun_prop punc noun noun_prop verb verb noun_prop punc,فَرَح فَرَح كَثِير قَتْل جُوان ، رُكْبَة فارِسِيّ راوَنْد طالَب مِصْر .
فحكم * دربه على قلعة الجون ، وكان فيها مقدم نصراني اسمه العرفج ابن ذميم الجوني ، وكان ذلك اللعين جبار لا يصطلا له بنار .,noun punc noun prep noun noun punc verb prep noun verb noun noun_prop noun_prop adj noun_prop punc verb pron_dem adj noun_prop part_neg noun_prop prep noun punc,حُكْم * دَرْب عَلَى قَلْعَة جُون ، كان فِي مُقَدَّم نَصَر ٱِسْم العرفج ٱِبْن ذَمِيم الجوني ، كان ذٰلِكَ لَعِين جَبّار لا يصطلا لِ نار .
فشاف المقدم سعد الدين الرصافي وهو مشرف على القلعه ، فصرخ عليه : العوافي يا مقدم سعد الدين ، حول * ، شو * في ؟,noun noun noun_prop noun noun_prop pron noun_prop prep noun punc verb prep punc noun_prop part_voc noun noun_prop noun punc noun punc punc noun_prop punc prep punc,شافِي مُقَدَّم سَعْد دِين الرصافي هُوَ مُشَرَّف عَلَى قَلْعَة ، صَرَخ عَلَى : العوافي يا مُقَدَّم سَعْد دِين ، حَوْل * ، شُو * فِي ؟
فقال له سعد الدين : ولاه * يا عرفج ، انا مشغول .,verb prep noun_prop noun punc noun punc part_voc noun_prop punc pron adj punc,قال لِ سَعْد دِين : والِي * يا عرفج ، أَنا مَشْغُول .
وكان المقدم سعد الدين قلبه قمط * من ذلك الملعون ، لان الحر قلبه دليله .,verb noun noun_prop noun noun verb punc prep pron_dem adj punc conj_sub adj noun noun punc,كان مُقَدَّم سَعْد دِين قَلْب قَمَط * مِن ذٰلِكَ مَلْعُون ، أَنَّ حُرّ قَلْب دَلِيل .
وكان سعد الدين بزمان الشبوبيه قاتل ابو العرفج من بعض الحروب ، فمن هذا السبب ما رضي ان يضيف عنده .,verb noun_prop noun noun noun_prop noun noun_prop noun_prop prep noun noun punc prep pron_dem noun pron_rel verb conj_sub verb noun punc,كان سَعْد دِين زَمان الشبوبيه قاتِل أَبُو العرفج مِن عَضّ حَرْب ، مِن هٰذا سَبَب ما رَضِي أَنَّ أَضاف عِنْد .
هذا والعرفج تبع المقدم سعد الدين ، وقال له : يا سيدي ، لاي شيئى ما شرفتني بضيافتك ؟,pron_dem noun_prop verb noun noun_prop noun punc verb prep punc part_voc noun_prop punc noun_quant noun pron_rel verb noun punc,هٰذا والعرفج باع مُقَدَّم سَعْد دِين ، قال لِ : يا سَيِّد ، أَيّ شَيْء ما شَرَّف ضِيافَة ؟
قال له : اعلم ، ولك يا عرفج ، ان افندينا الدولتلي * بعث لي ورقه بالحضور لمصر لاجل احضر تقطيعة جوان .,verb prep punc verb punc prep part_voc noun_prop punc conj_sub noun_prop noun_prop punc verb prep noun noun noun_prop noun verb noun noun_prop punc,قال لِ : عَلِم ، لِ يا عرفج ، أَنَّ أَفَنْدِيّ الدولتلي * بَعَث لِ وَرَق حُضُور مِصْر أَجْل حَضَر تَقْطِيع جُوان .
فصرخ العرفج : واي ، يا روخي * !,verb noun_prop punc pron_interrog punc part_voc noun_prop punc punc,صَرَخ العرفج : أَيّ ، يا روخي * !
من بده يقطع جوان ؟,prep noun verb noun_prop punc,مِن بُدّ قَطَع جُوان ؟
قال له : جمال الدين شيحه .,verb prep punc noun_prop noun verb punc,قال لِ : جَمال دِين شَيَّح .
فقال له : واي ، يا مقدم ، وكيف بدكم تقطعوا الخليفه العامود ، ما تخافوا من اجداده ان يخسفوا بكم الأرض ؟,verb prep punc pron_interrog punc part_voc noun punc adv_interrog noun verb noun noun punc pron_rel verb prep noun conj_sub verb prep noun punc,قال لِ : أَيّ ، يا مُقَدَّم ، كَيْفَ بُدّ قَطَع خَلِيفَة عامُود ، ما خاف مِن جَدّ أَنَّ خَسَف بِ أَرْض ؟
فقال له المقدم سعد الدين : بدنا نقطعه ونحرق اجداده .,verb prep noun noun_prop noun punc verb verb verb noun punc,قال لِ مُقَدَّم سَعْد دِين : بَدَن قَطَع أَحْرَق جَدّ .
فانقرص العرفج من سعد الدين ، وسار عنه وقاطع له مقاطعه ، واكمن له فى بعض الوديان .,noun_prop noun_prop prep noun_prop noun punc verb prep verb prep noun punc verb prep prep noun noun punc,فانقرص العرفج مِن سَعْد دِين ، راوَنْد عَن قاطَع لِ مُقاطَعَة ، كَمَن لِ فِي عَضّ وادِي .
الى ليله من ذات الليالي ، خلا سعد الدين راكب ظهر فرسه وعما يكبي وغالب عليه النعاس ومؤمن على نفسه .,prep noun prep noun noun punc verb noun_prop noun noun noun noun_prop prep verb noun prep noun noun prep noun punc,إِلَى لَيْل مِن ذات لَيْلَة ، خَلا سَعْد دِين راكِب ظُهْر فارِسِيّ عَن أَكْبَى غالِب عَلَى نُعاس مُؤْمِن عَلَى نَفْس .
فهجم عليه ذلك الملعون العرفج من وراه ، وطسه بالسيف قطع راسه ، واخذ الراس وسار لمصر ، اندك على السجن بنج الحراس وذبحهم ، وخلص جوان وغلامه .,verb prep pron_dem adj noun_prop prep verb punc noun_prop noun noun noun punc verb noun verb noun_prop punc verb prep noun verb noun verb punc verb noun_prop noun punc,هَجَم عَلَى ذٰلِكَ مَلْعُون العرفج مِن راوَنْد ، وطسه سَيْف قَطْع رَأْس ، أَخَذ رَأْس راوَنْد مِصْر ، نَدّ عَلَى سِجْن بَنَّج حارِس ذَبَح ، خَلَص جُوان غُلام .
فقال له جوان : فليوني ، انت من تكون ؟,verb prep noun_prop punc verb punc pron prep verb punc,قال لِ جُوان : وَنِي ، أَنْتَ مِن كان ؟
قال له : انا المقدم العرفج ابن المقدم ذميم الجوني ، مقدم قلعة الجون .,verb prep punc pron noun noun_prop noun_prop noun adj noun_prop punc noun noun noun punc,قال لِ : أَنا مُقَدَّم العرفج ٱِبْن مُقَدَّم ذَمِيم الجوني ، مُقَدَّم قَلْعَة جُون .
واخبره كيف قتل المقدم سعد الدين الرصافي .,verb adv_rel verb noun noun_prop noun noun_prop punc,أَخْبَر كَيْفَ قَتَل مُقَدَّم سَعْد دِين الرصافي .
فقال له جوان : عليك نور المسيح ، ولكن ، يا فليوني ، كمل جميلك ، بدي رين المسلمين منك .,verb prep noun_prop punc prep noun_prop noun_prop punc conj punc part_voc verb punc verb noun punc noun noun_prop adj prep punc,قال لِ جُوان : عَلَى نُور مَسِيح ، لٰكِن ، يا وَنِي ، كَمَّل جَمِيل ، بُدّ رين مُسْلِم مِن .
قال له : على الطاشطه * .,verb prep punc prep noun_prop punc punc,قال لِ : عَلَى الطاشطه * .
وحالا اندك الملعون ، بنج الملك وحطه بالجمدان * ، وحط راس سعد الدين الرصافى بعتبة القاعه ، ورجع لعند جوان ، كتب ورقه وحطها فى الحبس ، انه ما فعل ذلك الفعال الا العرفج .,noun verb adj punc verb noun verb noun_prop punc punc verb noun noun_prop noun noun_prop noun noun punc verb verb noun_prop punc verb noun verb prep noun punc conj_sub pron_rel noun pron_dem adj part noun_prop punc,حال نَدّ مَلْعُون ، بَنَّج مَلِك حَطّ بالجمدان * ، حَطّ رَأْس سَعْد دِين الرصافي عَتَبَة قاعَة ، رَجَع عَنِد جُوان ، كَتَب وَرَق حَطّ فِي حَبْس ، أَنَّ ما فِعْل ذٰلِكَ فَعّال إِلّا العرفج .
واخذ جوان وغلامه والملك الظاهر وطلب البر الاقفر .,verb noun_prop noun noun noun verb noun noun_prop punc,أَخَذ جُوان غُلام مَلِك ظاهِر طَلَب بَرّ الاقفر .
اما السعيد ، عند الصباح لما نظر ذلك الامر ، قال للفداويه : يا رجال ، انا خائف من ذلك الملعون العرفج لا يفعل مع ابي كما فعل مع سعد الدين الرصافي .,part_focus adj punc noun noun pron_rel noun pron_dem noun punc verb noun_prop punc part_voc noun punc pron adj prep pron_dem adj noun_prop part_neg verb prep noun_prop conj noun prep noun_prop noun noun_prop punc,أَمّا سَعِيد ، عِنْد صَباح ما نَظَر ذٰلِكَ أَمْر ، قال للفداويه : يا رَجُل ، أَنا خائِف مِن ذٰلِكَ مَلْعُون العرفج لا فَعَل مَع أَبِي كَما فِعْل مَع سَعْد دِين الرصافي .
فقال له إبراهيم : فشر * !,verb prep noun_prop punc noun punc punc,قال لِ إِبْراهِيم : شَرّ * !
والله ما يقدر يقطع شعره من بدنه .,noun_prop pron_rel verb verb noun prep noun punc,اللَّه ما قَدَّر قَطَع شِعْر مِن بَدَن .
هم بالكلام وباب الديوان استد ، وداخل محي الدين ابن المقدم سعد الدين الرصافي ، ومعه جثة ابوه رماها بوسط الديوان ، وصرخ : مظلوم يا شاه زاده ، ونظرت جثة ابي بوادي قرب قلعة الجون .,pron noun noun_prop noun noun_prop punc noun noun noun noun_prop noun noun_prop noun noun_prop punc prep noun noun verb noun noun punc verb punc adj part_voc noun_prop noun punc verb noun noun_prop noun noun noun noun punc,هُم كَلام آب دِيوان استد ، داخِل مَحّ دِين ٱِبْن مُقَدَّم سَعْد دِين الرصافي ، مَع جُثَّة أَب رَمَى وَسْط دِيوان ، صَرَخ : مَظْلُوم يا شاه زاد ، نَظَر جُثَّة أَبِي وادِي قُرْب قَلْعَة جُون .
فقالوا له الرجال : يا مقدم ، خذ ابوك واريه التراب وعلينا باخذ التار .,verb prep noun punc part_voc noun punc verb noun verb noun prep noun noun_prop punc,قال لِ رَجُل : يا مُقَدَّم ، أَخَذ أَب وَرَى تُراب عَلَى أَخْذ التار .
فاخذ راس ابوه وجثته ودفنه بجبل الجيوشي ، والفدوايه نزلوا من الديوان ، لبسوا سلاحكهم وركبوا خيولهم واستلموا البر الاقفر ، وما بقي منهم غير سعد وإبراهيم .,verb noun noun noun verb noun noun_prop punc noun_prop verb prep noun punc verb noun_prop verb noun verb noun noun_prop punc pron_rel verb prep noun noun_prop noun_prop punc,أَخَذ رَأْس أَب جُثَّة دَفَن جَبَل الجيوشي ، والفدوايه نَزَل مِن دِيوان ، لَبِس سلاحكهم رَكَّب خَيْل ٱِسْتَلَم بَرّ الاقفر ، ما بَقِي مِن غَيْر سَعْد إِبْراهِيم .
ولا زالوا الى ان اشرفوا على قلعة الجون .,part_neg verb prep conj_sub verb prep noun noun punc,لا زال إِلَى أَنَّ أَشْرَف عَلَى قَلْعَة جُون .
فهجموا عليها وشغلوا ضرب الشواكر * الى ان ما ابقوا بالقلعه ديار ولا من ينفخ النار .,verb prep verb noun noun_prop punc prep conj_sub pron_rel verb noun noun part_neg prep verb noun punc,هَجَم عَلَى شَغَل ضَرْب الشواكر * إِلَى أَنَّ ما أَبْقَى قَلْعَة دار لا مِن نَفَخ نار .
وداروا على المقدم العرفج ، ما وجدوه .,verb prep noun noun_prop punc pron_rel verb punc,دار عَلَى مُقَدَّم العرفج ، ما وَجَد .
فنهبوا اموال القلعه وخربوها ، ورجعوا لمصر وحطوا الاموال قدام الملك السعيد ، واخبروه بما فعلوا .,verb noun noun verb punc verb noun_prop verb noun noun noun adj punc verb pron_rel verb punc,نَهَب مال قَلْعَة خَرَّب ، رَجَع مِصْر حَطّ مال قُدّام مَلِك سَعِيد ، أَخْبَر ما فَعَل .
فقال لهم : يا بني إسماعيل ، مرادي ابي منكم وجوان والعرفج .,verb prep punc part_voc noun_prop noun_prop punc noun noun_prop prep noun_prop noun_prop punc,قال لِ : يا بَنِي إِسْماعِيل ، مُراد أَبِي مِن جُوان والعرفج .
فركز الطبر ابراهيم والى ربه حمد وشكر ، وقال : يا شاه زاده ، الرجال ادوا ما عليهم وانا علي باحضار ابيك والعرفج وجوان وغلامه .,verb noun noun_prop prep noun noun_prop verb punc verb punc part_voc noun_prop noun punc noun verb pron_rel prep pron prep noun noun_prop noun_prop noun_prop noun punc,رَكَّز طَبَر إِبْراهِيم إِلَى رَبّ حَمْد شَكَر ، قال : يا شاه زاد ، رَجُل أَدَّى ما عَلَى أَنا عَلَى إِحْضار أَبِيك والعرفج جُوان غُلام .
فصرخ السعيد : عوايدك ، يا سبع الإسلام !,verb adj punc noun_prop punc part_voc noun noun_prop punc,صَرَخ سَعِيد : عوايدك ، يا سَبْع إِسْلام !
فنزل ابراهيم الى الحسينيه * ، اسبل الحديد لحد الاقدام ، وحط برأسه خوده كنايه عن جرن حمام ، وركب بظهر السلخديه ¤ ، واخذ سعد بركابه وسار لمقام السيده ¤ .,verb noun_prop prep noun_prop punc punc verb noun noun_prop noun punc verb noun noun_prop noun prep noun noun_prop punc noun noun noun_prop punc punc verb noun_prop noun verb adj noun punc punc,نَزَل إِبْراهِيم إِلَى الحسينيه * ، أَسْبَل حَدِيد لَحَد قَدَم ، حَطّ رَأْس خوده كِنايَة عَن جُرْن حَمام ، رُكْبَة ظُهْر السلخديه ¤ ، أَخَذ سَعْد راكِب راوَنْد مُقام سَيِّدَة ¤ .
قرا الفاتحه وسار برات مصر .,verb noun verb verb noun_prop punc,قَرَأ فاتِحَة راوَنْد بَرَّأ مِصْر .
ما شاف حاله الا ماشي بطريق الجم ، ولا زال الى المسا .,pron_rel noun noun part noun noun noun punc part_neg verb prep noun_prop punc,ما شافِي حال إِلّا ماشِي طَرِيق جَمّ ، لا زال إِلَى المسا .
فباتوا فى مكان يقال له البركه .,verb prep noun verb prep noun punc,بات فِي مَكان قال لِ بَرَكَة .
وسار ثاني الايام الى الليل ، نزل بوادي يقال له وادي التيه .,verb adj noun prep noun punc verb noun verb prep noun noun punc,راوَنْد ثانِي يَوْم إِلَى لَيْل ، نَزَل وادِي قال لِ وادِي آلَة .
فبينما هو ساير واذا بزوال اقبل عليه .,conj_sub pron verb conj noun verb prep punc,بَيْنَما هُوَ سايَر إِذا زَوال أَقْبَل عَلَى .
فصرخ إبراهيم : الزول ولاه بضلام الليل ؟,verb noun_prop punc noun noun noun_prop noun punc,صَرَخ إِبْراهِيم : زَوْل والِي بضلام لَيْل ؟
وقائل يقول : ما تحت الزول الا المقدم العرفج ابن ذميم الجوني .,adv verb punc pron_rel noun noun part noun noun_prop noun_prop adj noun_prop punc,قائِل قال : ما تَحْتَ زَوْل إِلّا مُقَدَّم العرفج ٱِبْن ذَمِيم الجوني .
فصرخ إبراهيم : يا لها من ليله ما ابركها !,verb noun_prop punc part_voc prep prep noun pron_rel noun punc,صَرَخ إِبْراهِيم : يا لِ مِن لَيْل ما أَبْرَك !
والله ، صار لي زمان داير عليك يا كويفر .,noun_prop punc verb prep noun noun_prop prep part_voc noun_prop punc,اللَّه ، صار لِ زَمان داير عَلَى يا كويفر .
قال له العرفج : انت من تكون ؟,verb prep noun_prop punc pron prep verb punc,قال لِ العرفج : أَنْتَ مِن كان ؟
قال له : اوعا يا ملعون وفيق لحالك !,verb prep punc noun_prop part_voc adj noun_prop noun punc,قال لِ : اوعا يا مَلْعُون وفيق حال !
ما قدامك الا عنتر بني إسماعيل ، ابراهيم راحات الحرب .,pron_rel noun part noun_prop noun_prop noun_prop punc noun_prop noun noun punc,ما قُدّام إِلّا عَنْتَر بَنِي إِسْماعِيل ، إِبْراهِيم راحَة حَرْب .
فصرخ العرفج : واي يا بن الكوراني ¤ ، وديني انا مشتهي مقابلتك بالحرب والطعن والضرب .,verb noun_prop punc pron_interrog part_voc noun_prop noun_prop punc punc adj pron adj noun noun noun noun punc,صَرَخ العرفج : أَيّ يا بِن الكوراني ¤ ، دِينِيّ أَنا مُشْتَهَى مُقابَلَة حَرْب طَعْن ضَرْب .
فانطبقوا الفارسين كانهم اسدين ، وحان عليهم الحين .,verb noun_prop verb noun punc verb prep noun punc,ٱِنْطَبَق الفارسين كان أَسَد ، حان عَلَى حِين .
ولله در إبراهيم ، ضايق العرفج ومد له زند عمران ، شبعان تقوى وايمان .,noun_prop noun noun_prop punc verb noun_prop noun prep noun noun_prop punc noun verb noun_prop punc,اللَّه دَرّ إِبْراهِيم ، ضايَق العرفج مَدّ لِ زَنْد عُمْران ، شَبْعان قَوِي إِيمان .
وصرخ بضميره : مددك سيدي رسول الله .,verb noun punc verb noun_prop noun noun_prop punc,صَرَخ ضَمِير : مَدَّد سَيِّد رَسُول اللَّه .
وخطفه من بحر سرجه ، اخذه اسير على راحة زنده .,noun prep noun noun punc verb verb prep noun noun punc,خَطْف مِن بَحْر سَرْج ، أَخَذ أَسار عَلَى راحَة زَنْد .
وقال له : ولك ملعون ، اين الملك الظاهر ؟,verb prep punc prep adj punc adv_interrog noun noun punc,قال لِ : لِ مَلْعُون ، أَيْنَ مَلِك ظاهِر ؟
قال له : منترته * .,verb prep punc noun_prop punc punc,قال لِ : منترته * .
قال له إبراهيم : خصي * باطك ، يا ملعون ، ولكن احكي االدغري * .,verb prep noun_prop punc verb punc noun punc part_voc adj punc conj verb noun_prop punc punc,قال لِ إِبْراهِيم : خَصَى * أَطّ ، يا مَلْعُون ، لٰكِن حَكَى االدغري * .
قال له : وديني منترته .,verb prep punc adj noun_prop punc,قال لِ : دِينِيّ منترته .
فيه قدامي غير بدك تمنترني يا بن الكوراني ؟,prep noun noun noun noun_prop part_voc noun_prop noun_prop punc,فِي قُدامَى غَيْر بُدّ تمنترني يا بِن الكوراني ؟
افعل ما بدالك .,verb pron_rel adj punc,فَعَل ما دالّ .
فاراد سعد يقطع رأسه فمنعه إبراهيم ، وقال له : لا يا وليدي ، كنت انا قطعت رأسه من اول ما قابلته ، ولكن مقصودي نقرره عن افندينا ، ومتى قتل ضاع خبر افندينا .,verb noun_prop verb noun noun noun_prop punc verb prep punc part_neg part_voc noun punc verb pron verb noun prep adj pron_rel verb punc conj noun verb prep noun_prop punc adv_rel verb verb noun noun_prop punc,أَراد سَعْد قَطَع رَأْس مَنْع إِبْراهِيم ، قال لِ : لا يا يَد ، كان أَنا قَطَع رَأْس مِن أَوَّل ما قابَل ، لٰكِن مَقْصُود قَرَّر عَن أَفَنْدِيّ ، مَتَى قَتَل ضاع خَبَر أَفَنْدِيّ .
وسار ابراهيم بالعرفج لمصر ، وادخله الى بين ايادي السعيد .,verb noun_prop noun_prop noun_prop punc verb prep noun noun adj punc,راوَنْد إِبْراهِيم بالعرفج مِصْر ، دَخَل إِلَى بَيِّن يَد سَعِيد .
فصرخ السعيد : ولك عرفج اين ابي ؟,verb adj punc prep noun_prop adv_interrog noun_prop punc,صَرَخ سَعِيد : لِ عرفج أَيْنَ أَبِي ؟
قال له : منترته .,verb prep punc noun_prop punc,قال لِ : منترته .
قال له : ولك ، احكي الدغري وعليك الأمان .,verb prep punc prep punc verb noun prep noun punc,قال لِ : لِ ، حَكَى دَغْرَى عَلَى أَمان .
قال له : وديني منترته .,verb prep punc adj noun_prop punc,قال لِ : دِينِيّ منترته .
فغضب السعيد من العرفج ، وطسه بالنمشه * قطع رأسه .,noun adj prep noun_prop punc noun_prop noun punc noun noun punc,غَضَب سَعِيد مِن العرفج ، وطسه نَمَش * قَطْع رَأْس .
صرخ إبراهيم : لا يا شاه زاده ، استعجلت بقتله !,verb noun_prop punc part_neg part_voc noun_prop noun punc verb noun punc,صَرَخ إِبْراهِيم : لا يا شاه زاد ، ٱِسْتَعْجَل قَتْل !
قال له السعيد : يا عمي ، فور دمي الملعون .,verb prep adj punc part_voc noun punc noun noun adj punc,قال لِ سَعِيد : يا عَمّ ، فَوْر دَم مَلْعُون .
هم بالكلام وباب الديوان استد وداخل جمال الدين .,pron noun noun_prop noun noun_prop noun noun_prop noun punc,هُم كَلام آب دِيوان استد داخِل جَمال دِين .
فقام له السعيد ، وقال له : والله ، ما جيت الا بمحلك .,verb prep adj punc verb prep punc noun_prop punc pron_rel noun_prop part noun punc,قام لِ سَعِيد ، قال لِ : اللَّه ، ما جيت إِلّا مَحَلّ .
